PuzzleBoard	SolvedBoard
...7938..34.8...1.28..6.7..4..518.2.71.....85.2.647..9..4.8..91.5...4.68..8956...	561793842347825916289461753493518627716239485825647139674382591952174368138956274
1.2.5.7.......4512985.1...4..163.4.9.6..2..5.3.9.458..4...7.2867568.......8.6.9.5	142356798637984512985217634571638429864729351329145867493571286756892143218463975
14.925..8...71...6..7..42..269.371.4.........8.149.325..46..8..7...52...6..348.71	146925738982713546537864219269537184453281697871496325314679852798152463625348971
.6.....59.29.4.3.....295.642.1.39..6.5..8..2.4..51.9.864.158.....8.2.64.79.....1.	164873259529641387837295164281439576953786421476512938642158793318927645795364812
4.7.6..3.5...7.8..628314...2...91..3.74.8.91.1..64...5...938142..2.5...7.4..2.6.8	497865231531279864628314579265791483374582916189643725756938142812456397943127658
3..7..5181..3.5...27..9.3.....13..4.4.36572.1.1..84.....7.1..26...5.2..3826..3..9	394726518168345972275891364652139847483657291719284635537918426941562783826473159
.49...8.3.5..437..8.2..94.5.7.9..1581.......7495..8.3.3.85..2.4..431..8.5.7...39.	749251863651843729832769415276934158183625947495178632318596274924317586567482391
7...4.6...5.7861..4...5.7.92...349..8..962..7..587...41.8.9...3..3627.5...7.1...6	782149635359786142416253789271534968834962517695871324168495273943627851527318496
..5..68.....5.197.7..4.315628.3...6..41...52..6...2.188736.4..1.521.9.....47..6..	915276843436581972728493156289315764341867529567942318873654291652139487194728635
...5..6..16....92389....4579.6.3.2..57.429.61..4.6.3.9629....84748....32..1..8...	437592618165784923892613457916837245573429861284165379629371584748956132351248796
.52.3...1.475.1....8.6724.91.8.....5..34.81..5.....3.64.9317.6....2.571.7...4.93.	652934871947581623381672459198763245263458197574129386429317568836295714715846932
..754.13..5.1..9.......6.578...7...341.369.723...5...458.9.......2..4.8..31.854..	697542138258137946143896257826471593415369872379258614584923761962714385731685429
.6.31.47.5.3...2....7....1.3498.562....1.9....582.6794.3....8....4...1.9.91.67.5.	962318475513794286487652913349875621276149538158236794635921847724583169891467352
23...895.9..5.3..6..6.2.4.8...83471.....9.....19276...8.5.6.2..6..3.2..1.217...64	234618957978543126156927438562834719783195642419276385895461273647382591321759864
..2.3.1.7..51.76..91...528.1..5......74.9.82......4..1.287...49..68.35..3.1.5.7..	462938157835127694917465283189572436674391825253684971528716349796843512341259768
6..8..34..751...268.....71...3.5.287...327...527.1.4...51.....434...215..89..1..2	612879345975134826834265719193456287468327591527918463251683974346792158789541632
63....845.48.692...21..4..9.6....1...1239765...5....2.2..4..91...671.48.184....76	639172845748569231521834769463258197812397654975641328257486913396715482184923576
...32....2.4.5..68.57.692.1..3...5..5.82361.7..2...4..4.617.93.73..4.8.5....83...	861324759294751368357869241973418526548236197612597483486175932739642815125983674
...5..491.8....625....4..83.1.8549..9.4.3.2.8..7291.5.79..6....246....7.531..7...	673582491489173625125649783312854967954736218867291354798465132246318579531927846
.46371.5..35...1..8..4.2...6.75.984.3...6...5.241.73.6...7.8..9..9...43..6.91358.	946371258235896174871452963617539842398264715524187396153748629789625431462913587
57..312.86.15.2.....3.97.1....9...62..92.87..42...5....1.85.6.....1.69.79.274..51	574631298691582473283497516758914362139268745426375189317859624845126937962743851
.9..2...3.3...92..5.7..19.49.31..642.8..3..9.461..75.83.98..4.1..29...6.8...1..7.	698425713134789256527361984973158642285634197461297538359876421712943865846512379
..32.6..12....7.3.8673......4.638..57..1.5..81..794.2......1389.7.4....23..9.25..	493256871251847936867319254942638715736125498185794623624571389579483162318962547
.3.5..874.8.7.21..71..6.29.54....3.9....3....8.3....16.97.2..81..84.7.5.251..9.3.	632591874985742163714863295546178329179236548823954716497325681368417952251689437
..18..2.632....597......1......328158..567..953941......3......146....787.5..13..	971853246328146597654279183467932815812567439539418762283794651146325978795681324
..3..79.6..6.927355....38.17....9..8...675...4..1....96.82....795173.2..2.49..6..	823517946146892735597463821712349568389675412465128379638254197951736284274981653
1...7.3.66.893..743....6.8.8..615...5..8.4..3...397..8.3.2....142..638.59.6.4...7	192478356658932174347156982873615429569824713214397568735289641421763895986541237
5.6.7.9..9.31.52.727.9.......13..56....629....62..17.......3.851.98.43.6..8.1.4.9	516472938983165247274938651891347562735629814462581793647293185129854376358716429
3..1..6959...7..18.18....7..9.86...4..3.2.9..8...49.2..8....24.43..5...1621..7..9	374182695962573418518694372297861534143725986856349127785916243439258761621437859
.59..416...68..2.78......49..86724...6.381.5...29453..28......54.5..68...715..92.	359724168146859237827163549538672491964381752712945386283497615495216873671538924
.1.....687.65.8914...21.....6...24.9..2.4.5..4.86...7.....25...5714.96.329.....4.	315974268726538914849216357167852439932147586458693172684325791571489623293761845
6.4.9..38.7...459.1.2853...4..6....7.6..2..4.9....7..6...3724.9.491...6.28..4.3.5	654791238873264591192853674435619827761528943928437156516372489349185762287946315
7...9.3624.586.917..9....58...6.3.7.9...8...1.5.1.9...37....8..542.381.6198.5...3	781495362435862917269317458814623579927584631653179284376941825542738196198256743
5..4..86...7...9.4.61.97.5...31.24..7.2...1.8..83.95...7.24.38.2.4...6...36..1..2	529413867387625914461897253653182479792564138148379526975246381214738695836951742
.84....9.6...83.5....4.91.62...7.9..43.295.71..7.1...25.17.8....6.95...4.4....52.	184567293692183457375429186218376945436295871957814362521748639863952714749631528
7....68.4.18..2.7...48.7...4..673..93.59241.82..185..7...7.83...4.3..79.1.72....6	723596814918432675654817923481673259375924168269185437592768341846351792137249586
.618.4..228.319.6......6...84....2.7...642...3.5....94...7......1.258.497..4.352.	561874932287319465934526178846935217179642853325187694452791386613258749798463521
..5...2471..457..9.7.8.2..33..6....5296...7385....3..67..3.5.8.4..926..1632...5..	865139247123457869974862153341678925296514738587293416719345682458926371632781594
