PuzzleBoard	SolvedBoard
704000020020800900080290037009087000070060090000120700340016080002008060060000104	794635821123874956685291437239487615471563298856129743347916582512748369968352174
100400008400000156600000020000503902703602801204107000010000007572000004300005009	135426798429378156687951423861543972753692841294187635916234587572819364348765219
835026914004000700200080060000079400000000000001830000020040005008000100456210379	835726914614953728297481563582179436743562891961834257129347685378695142456218379
003905280008000050000860700009001000080050020000600100007016000040000800021708400	413975286768124953592863741679281534184357629235649178857416392946532817321798465
000030002000500690000170504159700000640825017000003456206057000095001000700090000	514639782372584691968172534159746328643825917827913456286357149495261873731498265
930650000001000003008091600006000008000000000100000300009780200800000100000014037	932657481651248973478391625596423718783169542124875369319786254847532196265914837
306004108005000029070000000000008010004070800050400000000000080710000500802500603	396724158485163729271985436937658214624371895158492367563247981719836542842519673
000001000060000031904000802040019200006070500009350010401000608390000050000100000	823961475567428931914735862745619283136872549289354716471593628398246157652187394
002000704307400090080703100001508460000000000035109200003907040070004309409000800	912865734367421598584793126291578463748632951635149287153987642876254319429316875
098036000000400000045087009900023600000040000007950004600510930000002000000870520	798136452126495873345287169914723685583641297267958314672514938859362741431879526
896037040210005000005000390682000004000000000100000768067000500000900087020750619	896237145213495876745816392682571934374689251159324768967148523531962487428753619
005000000008030005300650900040025803090164050502380040009043001700010500000000400	965478312428931675317652984146725893893164257572389146259843761784216539631597428
804009060900487001000000000427801006009060200600902487000000000200675004030200609	854319762962487351371526948427831596589764213613952487746193825298675134135248679
008007600020000045000000108400700000900000004000004007205000000760000080001500700	518347692627981345394256178483725961976138254152694837235879416769412583841563729
000800100014000000070100062760300000053000910000009034820003040000000290006008000	632874159514692387978135462769341825453287916281569734827953641345716298196428573
000008000000010009005090023520871046070934050830562091750020600200080000000700000	392658417487213569615497823529871346176934258834562791751329684243186975968745132
002008400900046080084010009059602000301789605000104390500020930090470006003900800	712598463935246781684317259459632178321789645876154392567821934298473516143965827
006040009400900068200007430003100002020834050800005300045300006680001003300090500	736548219451923768298617435573169842129834657864275391945382176687451923312796584
980100000300000100700200086069700000008060700000002360640008009007000008000006073	986147532325689147714253986469735821238461795571892364643578219197324658852916473
050100000000300006086005100000207005007659200500804000005900840600003000000001030	459162378712348596386795124961237485847659213523814967135976842698423751274581639
300682000004005800000100003070000500002851400005000020200003000009200300000597004	397682145164375892528149673876924531932851467415736928251463789749218356683597214
500006900000070003029010600730002190001000400086700025002080730900030000007600009	573846912164279853829513647735462198291358476486791325642985731958137264317624589
005001062000085003000007010780000009126504837500000041050300000300410000910800300	875931462241685793639247518784163259126594837593728641452379186368412975917856324
400009200600003000000050790386924175000137000179685324065090000000500002008300007	457869231691273548832451796386924175524137869179685324265798413713546982948312657
000705002109003050002410000000000019004000700280000000000024300050100204400807000	846795132179263458532418697765342819394581726281976543917624385658139274423857961
010382000000000000803600129098060200360020057007030960956003402000000000000946070	619382745275194386843657129598761234361429857427538961956873412784215693132946578
500000078000680005802300000089500010100030009020001750000007803900028000250000007	536214978417689235892375641789546312165732489324891756641957823973128564258463197
050000730900000060000071000600200470000050000035004009000740000080000007076000020	251496738947382561863571942618239475492857613735164289129748356584623197376915824
051600090390001000000000100140900860070010030083005019004000000000100046010003750	451678293397241685862359174145932867976814532283765419734586921528197346619423758
000705904001000000480002070000000000540809061000000000010600057000000600607403000	236785914791364582485912376978156243542839761163247895319628457824571639657493128
300000400001085602208004900900468000000090000000317009005800706704950100009000004	357629418491785632268134975913468257876592341542317869125843796784956123639271584
730100050000000870000400200100500080560000042070001005005006000027000000080003067	732198654416325879859467213194532786563879142278641395345716928627984531981253467
020015039001302060000600001000000010005040600080000000100007000040503100530120090	826415739491372568753698241279856413315249687684731925162987354948563172537124896
