PuzzleBoard	SolvedBoard
.58.....6..46.2.7.2..5...818..........5.3.6..........862...7..4.4.1.68..5.....26.	758913426914682573263574981872461359195738642436295718629857134347126895581349267
...5......2...9.....328.79.......678..6.2.9..938.......85.312.....6...8......2...	879563421524719863163284795241395678756128934938476512685931247412657389397842156
.3.....65.65........9.651...578.24.184.....591.24.367...873.5........38.32.....1.	231947865465128793789365124657892431843671259192453678918736542574219386326584917
....2.....52.1..38.1.6.4...5.7...3...3.7.1.5...6...8.4...4.6.1.34..5.68.....3....	874523196652917438913684725597842361438761259126395874285476913341259687769138542
.4......9.1.64.......92...4...8.97...9..6..2...72.4...7...81.......72.8.5......7.	246713859819645237375928164152839746498167523637254918724381695963572481581496372
7.2...3.4.5...471.4..35.2....91.3..21..472..52..5.91....4.95..1.257...6.9.1...5.7	792816354653924718418357296549183672136472985287569143374695821825731469961248537
..42.7961127..85.3........72.3.....9.9.....7.6.....4.27........3.64..8959425.37..	834257961127698543569134287283746159491325678675819432758961324316472895942583716
.9............42...25.3...6.64...1..5.72618.4..9...62.8...2.91...15............4.	498672531316854279725139486264398157537261894189745623873426915941587362652913748
.3......9.9.6........3.4.7..218.3..596..2..473..9.721..5.4.9........6.8.2......6.	634172859197685423582394176721843695968521347345967218856419732479236581213758964
....16........7.89.5.938.....389..7.1.76459.8.9..716.....564.1.61.7........12....	789416352346257189251938746563892471127645938894371625972564813615783294438129567
..4........15.63.....7.4.21.6...5..84...1...67..6...4.52.8.9.....73.12........9..	874123659291586374635794821162945738483217596759638142526879413947361285318452967
8......3.763...2.5..2.7....1....3...92.817.54...6....7....3.4..2.4...513.8......9	849562731763198245512374896157423968926817354438659127675931482294786513381245679
.2....4...6..3.....48.2.....8.3...969..8.1..465...4.3.....4.16.....8..4...4....7.	325176489169438527748925613481357296932861754657294831873549162216783945594612378
.6....1.8.8216.49.........6..7....1.....7.....1....9..3.........28.1475.1.9....8.	463259178582167493791483526947632815835971642216845937374598261628314759159726384
....52..1...94862......7...41.2798352...3...9973581.62...8......92764...3..12....	784652391135948627629317548416279835258436719973581462561893274892764153347125986
.92843.6...76..38..3.9.125..5.....13.7.....2.46.....9..245.8.7..15..98...8.21794.	592843167147652389836971254259786413378194526461325798924538671715469832683217945
.3......11.94.5....2.13.....425........3.6........245.....58.4....2.41.94......2.	534829671179465238826137594642591783785346912913782456261958347358274169497613825
1..3..8756...7.3.987...............2...8.3...3...............234.5.3...8237..1..4	194326875652478319873159246586714932729863451341295687968547123415632798237981564
...4...5..5.792...6.9.35.2..4.....71....1....16.....8..2.18.5.6...576.9..8...9...	832461759451792863679835124243658971798213645165947382927184536314576298586329417
.2.8...3..71...64.653914..7..2.....8....9....1.....9..4..629815.19...36..6...1.9.	924876531871532649653914287392167458786495123145283976437629815519748362268351794
...4..21.......8.78.1....9.......37..32.6.95..87.......7....4.53.8.......54..7...	793485216526319847841672593965241378132768954487593621279136485318954762654827139
84.6157.9.198..6...6...98........5.7....5....9.8........19...8...5..149.4.3582.76	842615739319847652567329814134298567726153948958476321671934285285761493493582176
..4..3...9...1...3..8.6.91.8.72......6..7..8......61.2.19.3.2..6...2...8...7..3..	154893627926517843378462915897251436261374589435986172719638254643125798582749361
.14...6..7....618......14373.......6.........9.......21572......936....8..8...75.	814357629739426185562981437371892546285764391946513872157248963493675218628139754
...67.....9..215.8..1...6.416..4.....2..6..4.....5..676.5...7..2.351..9.....86...	842675319396421578751938624167849253528763941439152867615394782283517496974286135
5.3..7...2......6.8...65...63..7...11..396..74...5..83...61...2.4......8...5..3.6	563847129274931865819265734632478951185396247497152683758613492346729518921584376
.359.....7..6......6.8315...8..1.....9.463.8.....5..1...2394.5......2..7.....624.	135927468728645193469831572586719324291463785347258916672394851954182637813576249
73...41..94..1.73..857.....267..3.41..9.6.3..35.4..629.....726..74.2..13..31...74	732954186946812735185736492267593841419268357358471629591347268874629513623185974
...8..5.....9..8..61.5..94.35.7.6...8...9...5...4.8.23.87..5.94..5..7.....4..9...	479861532523974861618523947352716489846392175791458623187635294965247318234189756
.9.4.....4.2..37....6..1..5..7.3.2...5..2..3...4.1.5..6..1..9....35..1.6.....2.5.	591487362482653719376291845167835294958724631234916578645178923723549186819362457
.2....6.9..92.7.3..8.........68..25..5.....8..72..53.........2..9.7.81..7.5....6.	321584679469217538587396412136879254954132786872645391618453927293768145745921863
.8.7...6.7.5...48...65...7....2..5....23.68....9..7....9...23...47...2.1.5...8.4.	984723165725169483136584972468291537572346819319857624691472358847635291253918746
.43.....5..7.....82.85.4...3......59.7.....8.49......2...3.58.68.....5..5.....97.	943187265157263498268594137381742659672951384495836712729315846836479521514628973
....86....5.....4.4.63....867..3.......297.......6..378....32.1.2.....8....52....	731486529258719346496352718675834192314297865982165437867943251523671984149528673
..2..5..9..83.4.....619.5...6.4.72.5.4.....6.2.75.3.8...9.364.....7.93..7..8..9..	312675849958324617476198532163487295845912763297563184589236471621749358734851926
2..4...5.4.9..3...1.7..26...63..4..2.1..2..7.9..1..58...12..4.8...3..2.7.9...8..5	286419753459673821137852649763584912518926374924137586371295468845361297692748135
.39.2....1.68.75.......9..2....956.46...8...55.463....9..2.......89.12.7....6.95.	439526781126847593857319462782195634693784125514632879945278316368951247271463958
...8...6.....1654..1..9..8...2.3..7...19.24...4..6.9...7..5..1..9864.....5...8...	537824169829716543416593782982435671761982435345167928673259814298641357154378296
.2.3.1..7...8...42.1...4..5..5..9.7.7...1...4.4.7..5..3..9...6.49...5...2..4.8.5.	624351897539876142817294635185649273763512984942783516358927461496135728271468359
......8.4.....8....3.7....99..5.74.1...384...5.69.2..73....9.4....8.....2.8......	619253874475198632832746519983567421127384956546912387351629748764831295298475163
.95.2......3.4..6..6..7..9...14..5......1......2..54...3..6..4..4..5.9......8.75.	795628314123549867468173295981436572354217689672895431537962148846751923219384756
.4..2...63..4.5..16....3..545........91.5.63........198..5....31..9.2..89...8..5.	549127386382465971617893245453619827291758634768234519826541793135972468974386152
3.6.....1...3...6....7...84...9....2872...5965....6...63...2....4...7...2.....6.3	386429751714358269925761384461975832872143596593286417637592148148637925259814673
....82.677...3..5....79.1......7.846.........376.4......9.27....6..1...484.36....	914582367728631459653794128591273846482156793376948512139427685267815934845369271
