PuzzleBoard	SolvedBoard
.6.4...9.24..7.6.5.1..562.........1..8126754..5.........264..5.5.8.9..61.9...5.7.	865423197243179685917856234729584316381267549654931728172648953538792461496315872
..9.1.34..5.46......6...7..69.375..45..2.4..33..691.75..4...5......46.3..63.5.4..	289517346751463829436928751692375184517284693348691275174839562825146937963752418
..7....2.5.67...1...45...63279.45.81.........61.87.34246...32...5...74.8.3....1..	387416925596732814124598763279345681843621579615879342468153297951267438732984156
24.18.75..3...2..9.5..7..4...526.3.43...5...84.7.135...2..3..1.5..6...3..13.27.85	249186753731542869856379241195268374362754198487913526624835917578691432913427685
.9.6.74.124.3.1..73.1.49..6..7.....9...7.4...4.....7..7..16.3.49..4.3.756.49.5.1.	598627431246351987371849526827536149153794862469218753785162394912483675634975218
.23..6..8541........63.....4.763..9.3.98.26.1.6..194.3.....12........7141..4..98.	923176548541928367876354129417635892359842671268719453784591236695283714132467985
..1...52...37.4..98.....64..3.8..971..2.1.3..189..5.6..48.....62..9.68...16...7..	491683527653724189827591643534862971762419358189375462948157236275936814316248795
.16.....795..7..42..2.9.56.6.57.3..9..42867..3..9.51.6.48.6.9..56..3..787.....61.	416528397953671842872394561625713489194286735387945126248167953561439278739852614
8......16.....93......8...49...65.42.723.468.65.72...95...1......79.....29......1	845237916761549328329681574938165742172394685654728139586413297417952863293876451
...2..7.6......1..8.6514.....5836419..9...3..4381956.....4785.1..7......5.4..9...	951283746342967158876514293725836419169742385438195672693478521287351964514629837
5.7..6...9.61....4...49...7378..26.16..753..22.46..9737...69...1....43.6...8..7.5	547326189926187534813495267378942651691753842254618973732569418185274396469831725
....85...2.7..65.44.6.7.8....87..34...4...7...62..81....9.1.2.51.32..9.8...69....	931485627287136594456972813518769342394521786762348159649813275173254968825697431
3..84....4..........17.52..1..49.3.59432587612.5.13..8..69.48..........4....76..2	359842176427169583681735249168497325943258761275613498536924817792581634814376952
346.1.8729.8...1...........13.82976..64...21..97164.83...........9...6.1481.9.357	346915872978642135512783496135829764864357219297164583653471928729538641481296357
...35...4.37..2...256...9..3..5.1672.........7852.9..1..3...256...6..19.8...25...	198356724437192865256874913349581672612743589785269431973418256524637198861925347
..2..3..9...47.......98.7.54.3.....7598.2.1466.....3.82.4.51.......49...9..2..8..	752163489839475261146982735423618597598327146617594328264851973385749612971236854
.8.1...369..5...7.1.3..658.651..824.....6.....379..861.687..4.5.1...2..359...4.1.	285147936946583172173296584651378249829461357437925861368719425714852693592634718
....9..1.4.9...3.8...245.7...3.59.....46.81.....42.9...5.961...9.1...7.3.8..7....	576893214429716358138245679263159847794638125815427936357961482941582763682374591
..258..94....74...4.5..13..6.47.2..393..4..722..1.38.9..86..2.1...25....52..179..	312586794896374125475921386684792513931845672257163849748639251169258437523417968
4...6871..76.....8.21..7...79.82.................53.47...6..18.6.....32..8523...4	459368712376142958821597436793824561542716893168953247234679185617485329985231674
9..1...27.7.5.2461..47368...8..259......1......937..1...82571..7329.1.8.54...3..2	956184327873592461214736859187625934365419278429378615698257143732941586541863792
76.....34.4...5.9.....347.252.....18.........41.....592.546.....9.2...7.18.....26	768912534342675891951834762527349618839156247416728359275461983694283175183597426
..6......73.5.84.6...4.3.9.....8236.62..3..71.7315.....5.6.9...1.48.5.32......6..	546297183739518426218463597491782365625934871873156249352649718164875932987321654
.13..25...5......34.95..7...9....17.548...369.67....2...5..74.29......5...46..98.	813472596756189243429536718392864175548721369167395824685917432931248657274653981
..28.56.3...17.29591......8.5..4.3...67.8.45...9.5..8.6......24293.18...5.47.29..	742895613836174295915326748158247369367981452429653187671539824293418576584762931
3.5..6.42..1.3.....921.4..58..2.5..4...719...5..3.8..69..8.763.....9.2..15.6..4.9	385976142461532897792184365837265914246719583519348726924857631673491258158623479
.43...9.689.46275.567...4.2..8......4...8...7......8..7.4...195.86159.741.9...63.	243517986891462753567893412638721549412985367975346821724638195386159274159274638
4.7...1..1.3......9...132456.18.....3.......7.....74.651427...3......5.1..9...7.4	427658139153492678986713245671849352342561987895327416514276893768934521239185764
7.8....162.1......54........927.63..15.2.4.87..39.526........38......6.531....7.9	738492516261857493549163872892716354156234987473985261627549138984371625315628749
..6..5...792..643.8........45.2..6....75492....3..1.94........8.243..159...1..3..	316495872792816435845723961459238617167549283283671594531964728624387159978152346
.2...51.4..9....7..46..2...2..6.834.8.74295.6.657.3..2...3..72..7....6..9.25...3.	728935164519846273346172985291658347837429516465713892654391728173284659982567431
3..1.7..5....6.938...9....1916..32.7.52.7.89.7.85..6148....6...591.2....6..3.9..2	369187425174265938285934761916843257452671893738592614823756149591428376647319582
1...23..6.248.6.5..35......5...3..69.1..9..3.38..7...4......97..9.3.164.4..76...2	178523496924816357635947821542138769716492538389675214861254973297381645453769182
3..527.89.5413.267.2.......1......7.2.3.8.6.5.8......2.......2.492.6583.73.412..6	316527489854139267927648513149256378273981645685374192561893724492765831738412956
..2..71....31..4.6.8..4.27.835....2494.253.6162....539.64.9..8.5.8..69....94..6..	492367158753182496186945273835619724947253861621874539264591387518736942379428615
579318..2.3...9..7.6..27....5...249.....5.....178...2....28..1.2..1...6.1..795234	579318642832469157461527389358672491624951873917834526743286915295143768186795234
