SolvedBoard	PuzzleBoard	Uid
[[8, 2, 7, 5, 6, 1, 4, 9, 3], [9, 6, 5, 7, 3, 4, 1, 8, 2], [3, 4, 1, 8, 9, 2, 5, 6, 7], [2, 1, 6, 3, 8, 5, 9, 7, 4], [7, 5, 3, 2, 4, 9, 6, 1, 8], [4, 9, 8, 1, 7, 6, 2, 3, 5], [6, 7, 9, 4, 5, 3, 8, 2, 1], [5, 8, 2, 6, 1, 7, 3, 4, 9], [1, 3, 4, 9, 2, 8, 7, 5, 6]]	[[0, 2, 0, 5, 0, 0, 0, 9, 0], [9, 0, 5, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 7], [2, 1, 6, 0, 8, 0, 9, 0, 0], [0, 5, 3, 0, 0, 0, 6, 1, 0], [0, 0, 8, 0, 7, 0, 2, 3, 5], [6, 0, 0, 0, 0, 0, 8, 0, 0], [0, 0, 2, 0, 0, 0, 3, 0, 9], [0, 3, 0, 0, 0, 8, 0, 5, 0]]	20500090905000100001000007216080900053000610008070235600000800002000309030008050
[[1, 5, 3, 9, 6, 8, 4, 2, 7], [2, 7, 9, 4, 1, 3, 8, 6, 5], [4, 6, 8, 2, 5, 7, 3, 1, 9], [7, 3, 5, 1, 8, 9, 2, 4, 6], [9, 1, 6, 5, 4, 2, 7, 8, 3], [8, 2, 4, 3, 7, 6, 9, 5, 1], [3, 9, 1, 8, 2, 5, 6, 7, 4], [6, 4, 2, 7, 9, 1, 5, 3, 8], [5, 8, 7, 6, 3, 4, 1, 9, 2]]	[[1, 0, 0, 9, 0, 0, 4, 2, 7], [2, 7, 0, 0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 5, 0, 0, 0, 0], [7, 3, 0, 0, 0, 0, 0, 0, 0], [9, 0, 6, 0, 4, 0, 7, 0, 3], [0, 0, 0, 0, 0, 0, 0, 5, 1], [0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0, 3, 8], [5, 8, 7, 0, 0, 4, 0, 0, 2]]	100900427270000800000050000730000000906040703000000051000020000002000038587004002
[[2, 4, 1, 5, 9, 8, 7, 3, 6], [8, 6, 7, 3, 2, 1, 9, 5, 4], [9, 5, 3, 6, 4, 7, 2, 8, 1], [6, 7, 2, 8, 5, 3, 1, 4, 9], [3, 9, 8, 4, 1, 6, 5, 2, 7], [4, 1, 5, 9, 7, 2, 8, 6, 3], [7, 3, 6, 2, 8, 9, 4, 1, 5], [1, 8, 4, 7, 3, 5, 6, 9, 2], [5, 2, 9, 1, 6, 4, 3, 7, 8]]	[[0, 0, 0, 5, 9, 8, 0, 0, 6], [8, 0, 0, 0, 0, 0, 0, 0, 4], [0, 5, 3, 0, 4, 7, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0, 0, 9], [3, 0, 8, 0, 0, 0, 5, 0, 7], [4, 0, 0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 8, 0, 4, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 2], [5, 0, 0, 1, 6, 4, 0, 0, 0]]	598006800000004053047000000800009308000507400002000000280410100000002500164000
[[6, 5, 9, 3, 8, 1, 4, 7, 2], [8, 7, 4, 2, 6, 9, 1, 5, 3], [1, 2, 3, 7, 5, 4, 8, 6, 9], [2, 9, 1, 5, 3, 8, 6, 4, 7], [4, 3, 7, 6, 1, 2, 5, 9, 8], [5, 6, 8, 9, 4, 7, 3, 2, 1], [9, 1, 6, 4, 2, 3, 7, 8, 5], [7, 8, 5, 1, 9, 6, 2, 3, 4], [3, 4, 2, 8, 7, 5, 9, 1, 6]]	[[6, 0, 0, 3, 0, 1, 0, 0, 2], [0, 0, 0, 0, 0, 9, 0, 5, 3], [0, 2, 0, 7, 0, 4, 8, 6, 0], [0, 0, 1, 0, 3, 0, 0, 0, 7], [4, 0, 0, 0, 1, 0, 0, 0, 8], [5, 0, 0, 0, 4, 0, 3, 0, 0], [0, 1, 6, 4, 0, 3, 0, 8, 0], [7, 8, 0, 1, 0, 0, 0, 0, 0], [3, 0, 0, 8, 0, 5, 0, 0, 6]]	600301002000009053020704860001030007400010008500040300016403080780100000300805006
[[7, 3, 1, 8, 4, 9, 6, 5, 2], [6, 4, 5, 2, 3, 1, 9, 7, 8], [2, 9, 8, 5, 6, 7, 3, 4, 1], [4, 8, 3, 7, 9, 6, 1, 2, 5], [1, 6, 2, 4, 5, 8, 7, 3, 9], [9, 5, 7, 1, 2, 3, 8, 6, 4], [5, 1, 9, 6, 7, 2, 4, 8, 3], [3, 7, 4, 9, 8, 5, 2, 1, 6], [8, 2, 6, 3, 1, 4, 5, 9, 7]]	[[0, 0, 1, 0, 0, 0, 6, 0, 0], [0, 4, 0, 0, 3, 0, 0, 7, 8], [0, 0, 0, 5, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 6, 0, 2, 5], [0, 6, 2, 0, 0, 0, 7, 3, 0], [9, 5, 0, 1, 0, 0, 0, 0, 0], [0, 0, 9, 0, 0, 2, 0, 0, 0], [3, 7, 0, 0, 8, 0, 0, 1, 0], [0, 0, 6, 0, 0, 0, 5, 0, 0]]	1000600040030078000500300000006025062000730950100000009002000370080010006000500
[[9, 4, 8, 2, 6, 1, 3, 7, 5], [5, 1, 3, 9, 8, 7, 4, 6, 2], [6, 2, 7, 4, 5, 3, 1, 9, 8], [3, 9, 1, 8, 2, 6, 7, 5, 4], [4, 6, 2, 7, 9, 5, 8, 1, 3], [8, 7, 5, 3, 1, 4, 9, 2, 6], [1, 5, 9, 6, 3, 8, 2, 4, 7], [2, 3, 4, 5, 7, 9, 6, 8, 1], [7, 8, 6, 1, 4, 2, 5, 3, 9]]	[[9, 4, 0, 2, 0, 1, 0, 0, 5], [5, 0, 3, 0, 0, 0, 4, 0, 2], [0, 0, 0, 0, 5, 0, 0, 0, 0], [3, 9, 1, 8, 2, 0, 7, 0, 4], [0, 6, 0, 7, 9, 5, 0, 1, 0], [8, 0, 5, 0, 1, 4, 9, 2, 6], [0, 0, 0, 0, 3, 0, 0, 0, 0], [2, 0, 4, 0, 0, 0, 6, 0, 1], [7, 0, 0, 1, 0, 2, 0, 3, 9]]	940201005503000402000050000391820704060795010805014926000030000204000601700102039
[[6, 9, 3, 2, 5, 4, 8, 1, 7], [7, 8, 2, 3, 1, 9, 4, 5, 6], [1, 4, 5, 8, 7, 6, 2, 9, 3], [2, 5, 4, 6, 3, 8, 1, 7, 9], [3, 6, 1, 9, 2, 7, 5, 4, 8], [8, 7, 9, 1, 4, 5, 3, 6, 2], [5, 2, 7, 4, 9, 3, 6, 8, 1], [9, 3, 8, 5, 6, 1, 7, 2, 4], [4, 1, 6, 7, 8, 2, 9, 3, 5]]	[[0, 0, 0, 2, 0, 0, 8, 1, 0], [0, 0, 0, 3, 0, 0, 4, 5, 0], [0, 0, 0, 0, 7, 0, 0, 9, 0], [0, 0, 0, 0, 3, 8, 1, 0, 9], [3, 6, 0, 0, 0, 0, 0, 4, 8], [8, 0, 9, 1, 4, 0, 0, 0, 0], [0, 2, 0, 0, 9, 0, 0, 0, 0], [0, 3, 8, 0, 0, 1, 0, 0, 0], [0, 1, 6, 0, 0, 2, 0, 0, 0]]	200810000300450000070090000038109360000048809140000020090000038001000016002000
[[3, 4, 8, 7, 1, 2, 9, 6, 5], [9, 7, 6, 4, 5, 8, 3, 1, 2], [1, 5, 2, 9, 3, 6, 7, 4, 8], [4, 3, 1, 2, 7, 9, 5, 8, 6], [8, 2, 7, 5, 6, 1, 4, 9, 3], [6, 9, 5, 3, 8, 4, 2, 7, 1], [7, 1, 4, 6, 2, 5, 8, 3, 9], [2, 6, 3, 8, 9, 7, 1, 5, 4], [5, 8, 9, 1, 4, 3, 6, 2, 7]]	[[3, 0, 0, 0, 1, 0, 9, 0, 0], [0, 7, 6, 0, 5, 0, 0, 0, 2], [0, 0, 0, 0, 0, 0, 7, 4, 0], [0, 0, 1, 0, 7, 9, 0, 8, 6], [0, 0, 0, 0, 6, 0, 0, 0, 0], [6, 9, 0, 3, 8, 0, 2, 0, 0], [0, 1, 4, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 9, 0, 1, 5, 0], [0, 0, 9, 0, 4, 0, 0, 0, 7]]	300010900076050002000000740001079086000060000690380200014000000200090150009040007
[[7, 5, 9, 3, 6, 2, 8, 4, 1], [2, 8, 3, 1, 4, 5, 7, 9, 6], [1, 4, 6, 7, 9, 8, 2, 5, 3], [9, 7, 4, 8, 2, 1, 6, 3, 5], [3, 6, 1, 5, 7, 9, 4, 2, 8], [8, 2, 5, 4, 3, 6, 9, 1, 7], [5, 9, 2, 6, 8, 3, 1, 7, 4], [6, 3, 7, 2, 1, 4, 5, 8, 9], [4, 1, 8, 9, 5, 7, 3, 6, 2]]	[[7, 0, 9, 3, 0, 0, 8, 4, 0], [2, 0, 3, 1, 0, 0, 7, 0, 0], [0, 0, 0, 7, 0, 0, 0, 5, 3], [9, 7, 4, 0, 0, 1, 6, 0, 0], [0, 0, 0, 0, 7, 0, 0, 0, 0], [0, 0, 5, 4, 0, 0, 9, 1, 7], [5, 9, 0, 0, 0, 3, 0, 0, 0], [0, 0, 7, 0, 0, 4, 5, 0, 9], [0, 1, 8, 0, 0, 7, 3, 0, 2]]	709300840203100700000700053974001600000070000005400917590003000007004509018007302
[[2, 6, 9, 3, 8, 1, 7, 4, 5], [8, 3, 4, 7, 5, 6, 1, 9, 2], [7, 1, 5, 9, 4, 2, 3, 6, 8], [3, 8, 2, 5, 7, 4, 6, 1, 9], [4, 9, 7, 1, 6, 8, 2, 5, 3], [6, 5, 1, 2, 3, 9, 4, 8, 7], [1, 7, 8, 6, 2, 5, 9, 3, 4], [9, 4, 3, 8, 1, 7, 5, 2, 6], [5, 2, 6, 4, 9, 3, 8, 7, 1]]	[[0, 0, 0, 3, 0, 0, 0, 0, 5], [8, 3, 0, 7, 0, 6, 0, 0, 0], [0, 0, 5, 9, 0, 0, 0, 0, 8], [3, 0, 2, 5, 0, 4, 0, 0, 9], [0, 0, 0, 0, 6, 0, 0, 0, 0], [6, 0, 0, 2, 0, 9, 4, 0, 7], [1, 0, 0, 0, 0, 5, 9, 0, 0], [0, 0, 0, 8, 0, 7, 0, 2, 6], [5, 0, 0, 0, 0, 3, 0, 0, 0]]	300005830706000005900008302504009000060000600209407100005900000807026500003000
