SolvedBoard	PuzzleBoard	Uid
[[7, 5, 9, 4, 8, 6, 3, 2, 1], [6, 3, 4, 5, 2, 1, 8, 9, 7], [1, 2, 8, 9, 3, 7, 4, 6, 5], [4, 1, 6, 3, 9, 5, 2, 7, 8], [9, 8, 2, 7, 1, 4, 6, 5, 3], [5, 7, 3, 2, 6, 8, 9, 1, 4], [2, 6, 7, 8, 5, 3, 1, 4, 9], [3, 9, 5, 1, 4, 2, 7, 8, 6], [8, 4, 1, 6, 7, 9, 5, 3, 2]]	[[0, 5, 0, 0, 0, 0, 0, 2, 1], [6, 3, 0, 0, 2, 0, 8, 0, 0], [0, 2, 0, 9, 3, 7, 0, 0, 5], [0, 0, 0, 0, 9, 5, 0, 0, 0], [9, 0, 2, 7, 0, 4, 6, 0, 3], [0, 0, 0, 2, 6, 0, 0, 0, 0], [2, 0, 0, 8, 5, 3, 0, 4, 0], [0, 0, 5, 0, 4, 0, 0, 8, 6], [8, 4, 0, 0, 0, 0, 0, 3, 0]]	50000021630020800020937005000095000902704603000260000200853040005040086840000030
[[7, 5, 8, 2, 6, 9, 3, 4, 1], [1, 9, 2, 4, 3, 7, 6, 5, 8], [3, 4, 6, 5, 8, 1, 7, 2, 9], [9, 8, 5, 6, 2, 3, 1, 7, 4], [6, 2, 1, 7, 4, 5, 8, 9, 3], [4, 3, 7, 1, 9, 8, 5, 6, 2], [5, 7, 3, 9, 1, 2, 4, 8, 6], [2, 1, 4, 8, 7, 6, 9, 3, 5], [8, 6, 9, 3, 5, 4, 2, 1, 7]]	[[0, 0, 8, 0, 6, 0, 0, 0, 0], [0, 0, 0, 0, 0, 7, 6, 5, 0], [3, 4, 0, 5, 8, 0, 7, 0, 0], [9, 0, 5, 6, 2, 0, 0, 0, 0], [6, 2, 0, 0, 4, 0, 0, 9, 3], [0, 0, 0, 0, 9, 8, 5, 0, 2], [0, 0, 3, 0, 1, 2, 0, 8, 6], [0, 1, 4, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 5, 0, 2, 0, 0]]	8060000000007650340580700905620000620040093000098502003012086014800000000050200
[[5, 6, 4, 7, 3, 8, 2, 1, 9], [9, 3, 1, 6, 4, 2, 8, 7, 5], [7, 2, 8, 5, 1, 9, 3, 6, 4], [4, 9, 3, 1, 5, 7, 6, 2, 8], [8, 5, 7, 9, 2, 6, 1, 4, 3], [2, 1, 6, 3, 8, 4, 9, 5, 7], [6, 4, 2, 8, 7, 3, 5, 9, 1], [1, 8, 9, 4, 6, 5, 7, 3, 2], [3, 7, 5, 2, 9, 1, 4, 8, 6]]	[[0, 0, 4, 0, 3, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0, 8, 0, 0], [0, 2, 0, 0, 0, 9, 3, 0, 4], [4, 9, 3, 1, 0, 0, 6, 2, 0], [0, 5, 0, 0, 0, 0, 0, 4, 0], [0, 1, 6, 0, 0, 4, 9, 5, 7], [6, 0, 2, 8, 0, 0, 0, 9, 0], [0, 0, 9, 0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 9, 0, 4, 0, 0]]	4030000900000800020009304493100620050000040016004957602800090009000002000090400
[[1, 3, 2, 6, 9, 7, 4, 8, 5], [7, 5, 4, 8, 3, 2, 9, 1, 6], [6, 8, 9, 4, 5, 1, 7, 3, 2], [4, 9, 7, 2, 8, 5, 1, 6, 3], [8, 6, 1, 7, 4, 3, 2, 5, 9], [3, 2, 5, 1, 6, 9, 8, 4, 7], [9, 1, 8, 3, 2, 6, 5, 7, 4], [5, 4, 6, 9, 7, 8, 3, 2, 1], [2, 7, 3, 5, 1, 4, 6, 9, 8]]	[[1, 3, 0, 6, 0, 7, 4, 0, 0], [0, 0, 4, 8, 3, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 8, 0, 0, 0, 3], [0, 6, 0, 7, 4, 3, 0, 5, 0], [3, 0, 0, 0, 6, 9, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 9, 7, 8, 3, 0, 0], [0, 0, 3, 5, 0, 4, 0, 9, 8]]	130607400004832000000000000000280003060743050300069000000000000000978300003504098
[[4, 8, 3, 6, 1, 2, 5, 7, 9], [6, 9, 2, 5, 8, 7, 3, 1, 4], [7, 1, 5, 9, 3, 4, 6, 2, 8], [5, 2, 9, 4, 7, 3, 1, 8, 6], [3, 4, 1, 8, 6, 5, 2, 9, 7], [8, 7, 6, 1, 2, 9, 4, 5, 3], [9, 6, 8, 2, 4, 1, 7, 3, 5], [1, 3, 4, 7, 5, 8, 9, 6, 2], [2, 5, 7, 3, 9, 6, 8, 4, 1]]	[[0, 8, 0, 0, 0, 0, 0, 7, 0], [0, 0, 0, 0, 0, 7, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 2, 0], [5, 2, 9, 0, 0, 3, 0, 8, 0], [0, 0, 1, 0, 0, 0, 2, 0, 0], [0, 7, 0, 1, 0, 0, 4, 5, 3], [0, 6, 0, 0, 0, 0, 0, 3, 0], [0, 3, 0, 7, 0, 0, 0, 0, 0], [0, 5, 0, 0, 0, 0, 0, 4, 0]]	80000070000007010010000020529003080001000200070100453060000030030700000050000040
[[8, 5, 6, 2, 1, 9, 7, 3, 4], [3, 1, 2, 4, 7, 8, 9, 6, 5], [7, 9, 4, 5, 6, 3, 2, 1, 8], [2, 7, 9, 3, 4, 1, 5, 8, 6], [1, 6, 5, 8, 9, 2, 4, 7, 3], [4, 8, 3, 6, 5, 7, 1, 2, 9], [5, 4, 1, 7, 3, 6, 8, 9, 2], [9, 3, 8, 1, 2, 4, 6, 5, 7], [6, 2, 7, 9, 8, 5, 3, 4, 1]]	[[0, 5, 6, 2, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 5], [7, 0, 4, 0, 0, 0, 0, 0, 0], [2, 7, 0, 0, 0, 0, 0, 0, 6], [0, 0, 5, 0, 9, 0, 4, 0, 0], [4, 0, 0, 0, 0, 0, 0, 2, 9], [0, 0, 0, 0, 0, 0, 8, 0, 2], [9, 0, 0, 0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 5, 3, 4, 0]]	56200000300000005704000000270000006005090400400000029000000802900000007000005340
[[8, 4, 6, 3, 2, 9, 1, 7, 5], [5, 3, 1, 7, 8, 6, 4, 9, 2], [2, 7, 9, 1, 4, 5, 3, 6, 8], [7, 6, 8, 5, 3, 1, 2, 4, 9], [4, 1, 2, 6, 9, 8, 7, 5, 3], [3, 9, 5, 2, 7, 4, 8, 1, 6], [1, 5, 4, 8, 6, 2, 9, 3, 7], [6, 8, 7, 9, 1, 3, 5, 2, 4], [9, 2, 3, 4, 5, 7, 6, 8, 1]]	[[0, 0, 0, 0, 0, 9, 0, 0, 0], [0, 0, 1, 0, 8, 0, 0, 9, 2], [0, 0, 0, 1, 4, 0, 0, 0, 8], [7, 6, 0, 0, 0, 0, 0, 4, 9], [4, 1, 2, 6, 0, 8, 7, 5, 3], [3, 9, 0, 0, 0, 0, 0, 1, 6], [1, 0, 0, 0, 6, 2, 0, 0, 0], [6, 8, 0, 0, 1, 0, 5, 0, 0], [0, 0, 0, 4, 0, 0, 0, 0, 0]]	9000001080092000140008760000049412608753390000016100062000680010500000400000
[[3, 1, 8, 4, 6, 9, 5, 2, 7], [7, 4, 5, 1, 2, 3, 8, 9, 6], [6, 2, 9, 5, 7, 8, 4, 1, 3], [4, 5, 1, 7, 9, 6, 2, 3, 8], [8, 9, 7, 3, 5, 2, 6, 4, 1], [2, 6, 3, 8, 1, 4, 9, 7, 5], [9, 8, 6, 2, 3, 1, 7, 5, 4], [1, 7, 4, 9, 8, 5, 3, 6, 2], [5, 3, 2, 6, 4, 7, 1, 8, 9]]	[[0, 1, 0, 0, 0, 0, 5, 0, 0], [0, 0, 0, 1, 0, 0, 0, 9, 6], [0, 0, 9, 0, 0, 8, 0, 1, 0], [4, 0, 0, 0, 0, 0, 2, 0, 0], [0, 0, 7, 0, 0, 0, 6, 0, 0], [0, 0, 3, 0, 0, 0, 0, 0, 5], [0, 8, 0, 2, 0, 0, 7, 0, 0], [1, 7, 0, 0, 0, 5, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0, 8, 0]]	10000500000100096009008010400000200007000600003000005080200700170005000002000080
[[3, 1, 9, 2, 8, 7, 5, 4, 6], [7, 2, 5, 4, 6, 9, 8, 3, 1], [6, 8, 4, 3, 1, 5, 2, 9, 7], [2, 4, 8, 7, 9, 3, 6, 1, 5], [1, 7, 6, 8, 5, 4, 3, 2, 9], [9, 5, 3, 1, 2, 6, 4, 7, 8], [4, 6, 7, 9, 3, 8, 1, 5, 2], [8, 3, 2, 5, 7, 1, 9, 6, 4], [5, 9, 1, 6, 4, 2, 7, 8, 3]]	[[3, 1, 9, 2, 0, 0, 0, 4, 0], [0, 0, 5, 0, 6, 0, 0, 0, 0], [0, 8, 4, 3, 0, 5, 2, 9, 7], [2, 0, 0, 0, 0, 3, 0, 0, 0], [0, 0, 0, 8, 0, 4, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 8], [4, 6, 7, 9, 0, 8, 1, 5, 0], [0, 0, 0, 0, 7, 0, 9, 0, 0], [0, 9, 0, 0, 0, 2, 7, 8, 3]]	319200040005060000084305297200003000000804000000100008467908150000070900090002783
[[8, 6, 7, 2, 3, 1, 5, 4, 9], [9, 2, 5, 8, 4, 7, 3, 1, 6], [3, 1, 4, 9, 5, 6, 8, 7, 2], [6, 4, 9, 5, 2, 3, 7, 8, 1], [7, 5, 1, 4, 6, 8, 9, 2, 3], [2, 8, 3, 7, 1, 9, 6, 5, 4], [4, 9, 2, 3, 8, 5, 1, 6, 7], [1, 7, 8, 6, 9, 2, 4, 3, 5], [5, 3, 6, 1, 7, 4, 2, 9, 8]]	[[0, 0, 0, 2, 0, 0, 0, 4, 9], [9, 2, 0, 0, 0, 7, 0, 1, 6], [0, 0, 0, 0, 5, 6, 0, 7, 2], [6, 0, 0, 0, 2, 0, 7, 8, 0], [0, 0, 0, 4, 6, 8, 0, 0, 0], [0, 8, 3, 0, 1, 0, 0, 0, 4], [4, 9, 0, 3, 8, 0, 0, 0, 0], [1, 7, 0, 6, 0, 0, 0, 3, 5], [5, 3, 0, 0, 0, 4, 0, 0, 0]]	200049920007016000056072600020780000468000083010004490380000170600035530004000
